Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C3510;Cutaneous Melanoma;Malignant Cutaneous Melanoma ;A primary melanoma arising from atypical melanocytes in the skin.  Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi.  Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.;Malignant;
C27094;Cylindroma;Cylindroma of Skin ;A benign sweat gland neoplasm usually occurring in the scalp or the face. It may present as solitary or multiple papular or nodular lesions. It may be a sporadic lesion or part of Brooke-Spiegler syndrome. It arises from the dermis and has a multinodular, circumscribed appearance. The nodules contain basaloid cells with small, dark nuclei. Complete excision is usually curative.;Benign;
C2971;Cystadenocarcinoma;;A malignant cystic epithelial neoplasm arising from the glandular epithelium.  The malignant epithelial cells invade the stroma.  The cystic spaces contain serous or mucinous fluid.  Representative examples include ovarian and pancreatic cystadenocarcinomas.;Malignant;
C122687;Cytogenetically Normal Acute Myeloid Leukemia;Normal Karyotype Acute Myeloid Leukemia;Acute myeloid leukemia that is not associated with cytogenetic abnormalities.;Malignant;
C121975;DDIT4L Acute Lymphoblastic Leukemia;DDIT4L ALL;A gene expression subtype of acute lymphoblastic leukemia characterized by its expression level of the DDIT4L gene.;Malignant;
C6476;Dedifferentiated Chondrosarcoma;;An aggressive morphologic variant of chondrosarcoma. It is composed of a low grade chondrosarcoma and a high grade non-cartilagenous sarcomatous component. Due to the aggressive nature of the disease, its prognosis is poor.;Malignant;
C48876;Dedifferentiated Chordoma;Sarcomatoid Chordoma;A high-grade malignant bone tumor arising from the remnants of the notochord. It is characterized by a lobulated growth pattern, myxoid stroma formation, the presence of physaliphorous cells, and a sarcomatous component.;Malignant;
C3704;Dedifferentiated Liposarcoma;;An atypical lipomatous tumor/well differentiated liposarcoma that shows progression to a usually non-lipomatous, high grade sarcoma.  The non-lipomatous sarcoma component may be present in the primary lesion or at the site of recurrence.;Malignant;
C6492;Deep Fibrous Histiocytoma;Benign Deep Fibrous Histiocytoma ;A rare, well-circumscribed, pseudo-encapsulated benign fibrous histiocytoma that arises entirely within the subcutaneous tissue or deep soft tissue.  It usually affects the extremities or the head and neck region.  It recurs locally in a minority of cases.;Benign;
C6555;Deep Hemangioma;Deep Angioma;A hemangioma arising from the deep soft tissues.;Benign;
C6484;Dermal Fibroma;Fibroma of Skin ;A benign neoplasm that arises from the dermis and is characterized by the presence of neoplastic spindle-shaped fibroblasts.;Benign;
C3804;Dermal Nevus;Intradermal Nevus;A nevus characterized by the proliferation of nevus cells in the dermis without involvement of the dermal-epidermal junction.;Benign;
C4683;Dermatofibrosarcoma Protuberans;Dermatofibrosarcoma;A low grade fibroblastic neoplasm presenting as a nodular cutaneous mass, most often on the trunk and the proximal extremities.  The tumor diffusely infiltrates the dermis and the subcutaneous tissues.  It is considered a locally aggressive neoplasm, which often recurs but rarely metastasizes.;Undetermined;
C9182;Desmoid Fibromatosis;Aggressive Fibromatosis ;An insidious, locally aggressive, poorly circumscribed neoplasm arising from the deep soft tissues. It is characterized by the presence of elongated spindle-shaped fibroblasts, collagenous stroma formation, and an infiltrative growth pattern. It lacks metastatic potential.;Undetermined;
C9476;Desmoplastic Infantile Astrocytoma;Desmoplastic Astrocytoma of Infancy;A WHO grade I large cystic tumor that occurs almost exclusively in infants, with a prominent desmoplastic stroma having a neuroepithelial population consisting mainly of neoplastic astrocytes. It involves the superficial cerebral cortex and leptomeninges, and often attaches to the dura. Although clinically it presents as large tumor, it generally has a good prognosis following surgical resection. (Adapted from WHO);Undetermined;
C4738;Desmoplastic Infantile Ganglioglioma;;A WHO grade I large cystic tumor that occurs almost exclusively in infants, with a prominent desmoplastic stroma having a neuroepithelial population of neoplastic astrocytes together with a variable neuronal component. It involves the superficial cerebral cortex and leptomeninges, and often attaches to the dura. Although clinically it presents as a large tumor, it generally has a good prognosis following surgical resection. (Adapted from WHO);Undetermined;
C6747;Desmoplastic Mesothelioma;;A malignant neoplasm arising from mesothelial cells. It is characterized by the presence of a dense collagenous tissue and atypical neoplastic cells. Sarcomatoid features, collagenous necrosis, and infiltration of muscle and adipose tissue may be present. It occurs in the pleura and less commonly in the peritoneum.;Malignant;
C4497;Desmoplastic Nevus;;A benign melanocytic nevus characterized by the presence of desmoplastic stroma.;Benign;
C4956;Desmoplastic/Nodular Medulloblastoma;Desmoplastic Medulloblastoma ;A medulloblastoma characterized by the presence of nodular, collagenous areas which do not contain reticulin, surrounded by hypercellular areas which contain an intercellular reticulin fiber network.;Malignant;
C66813;Differentiated Retinoblastoma;;A retinoblastoma with well differentiated features. It often produces Flexner-Wintersteiner rosettes or Homer-Wright rosettes. In some cases the tumor cells form fleurettes.;Malignant;
C42048;Differentiating Neuroblastoma;;A neuroblastoma in which the differentiating neuroblasts constitute more than five-percent of the tumor cells.;Malignant;
C7173;Diffuse Astrocytoma;Grade 2 Astrocytic Neoplasm ;A low-grade (WHO grade 2) astrocytic neoplasm. It is characterized by diffuse infiltration of neighboring central nervous system structures. These lesions typically affect young adults and have a tendency for progression to anaplastic astrocytoma and glioblastoma. Based on the IDH genes mutation status, diffuse astrocytomas are classified as IDH-mutant, IDH-wildtype, and not otherwise specified.;Undetermined;
C129277;Diffuse Astrocytoma, Not Otherwise Specified;Diffuse Astrocytoma, NOS;A central nervous system tumor with morphological features of diffuse astrocytoma in which there is insufficient information on the IDH genes status.;Undetermined;
C129325;Diffuse Glioma;;A glioma that has diffusely infiltrated the surrounding central nervous system tissues.;Undetermined;
C8851;Diffuse Large B-Cell Lymphoma;;A non-Hodgkin lymphoma characterized by a diffuse proliferation of predominantly large neoplastic B lymphocytes.  It is the most frequently seen type of non-Hodgkin lymphoma, representing 30%-40% of the cases.  Morphologic variants include centroblastic lymphoma, immunoblastic lymphoma, and anaplastic lymphoma.  Subtypes/entities include T-cell/histiocyte rich large B-cell lymphoma, primary diffuse large B-cell lymphoma of the central nervous system, plasmablastic lymphoma, primary cutaneous diffuse large B-cell lymphoma, leg type, and ALK-positive large B-cell lymphoma.;Malignant;
C36081;Diffuse Large B-Cell Lymphoma Activated B-Cell Type;Activated B-Cell-Like Diffuse Large B-Cell Lymphoma ;A biologic subset of diffuse large B-cell lymphomas with a unique molecular signature or expression profile.  It represents approximately 30% of diffuse large B-cell lymphomas, and is characterized by the expression of CD44, PKCbeta1, Cyclin D2, BCL-2, and IRF4/MUM1 genes.  Morphologically, these lymphomas are either centroblastic or immunoblastic (ratio 2:1).  Patients with this type of diffuse large B-cell lymphoma are reported to have a less favorable outcome compared to those with a germinal center B-cell expression profile, with a 5-year survival rate of 35% and a median survival of 2 years.;Malignant;
C80289;Diffuse Large B-Cell Lymphoma Associated with Chronic Inflammation;;A diffuse large B-cell lymphoma arising in body cavities or narrow spaces of long standing chronic inflammation.  The classic example is the pyothorax-associated lymphoma that arises in the pleural cavity of patients with a history of long standing pyothorax.;Malignant;
C36080;Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type;DLBCL Germinal Center B-Cell Type ;A biologic subset of diffuse large B-cell lymphomas with a unique molecular signature or expression profile.  It represents approximately 50% of diffuse large B-cell lymphomas, and is characterized by the expression of CD10, BCL-6, A-myb, and LMO2 genes, BCL-2 translocation, and c-REL amplification.  Morphologically, the vast majority of these lymphomas are centroblastic and a small minority are immunoblastic (ratio20:1).  Patients with this type of diffuse large B-cell lymphoma have a more favorable outcome, with a 5-year survival rate of 60% and a median survival of 10 years.;Malignant;
C45231;Diffuse Large B-Cell Lymphoma Unclassifiable;DLBCL Unclassifiable ;A biologic subset of diffuse large B-cell lymphomas (DLBCL) that do not overexpress the genes whose overexpression characterizes the germinal center B-cell-like and activated B-cell-like DLBCL.  Morphologically, these lymphomas are either immunoblastic or centroblastic.  Patients with this type of diffuse large B-cell lymphoma are reported to have a less favorable outcome, similar to those with an activated B-cell-like gene expression profile.;Malignant;
C80280;Diffuse Large B-Cell Lymphoma, Not Otherwise Specified;;A term referring to a group of diffuse large B-cell lymphomas which are biologically heterogeneous. These lymphomas have a centroblastic, immunoblastic, or anaplastic morphology.;Malignant;
C45219;Diffuse Large B-Cell Lymphoma, Not Otherwise Specified by Gene Expression Profile;;A header term that includes the following diffuse large B-cell lymphoma subtypes by gene expression profiling: activated B-cell-like diffuse large B-cell lymphoma, germinal center B-cell-like diffuse large B-cell lymphoma, and type 3 diffuse large B-cell lymphoma.;Malignant;
C8420;Diffuse Malignant Mesothelioma;Malignant Diffuse Mesothelioma;A diffuse malignant neoplasm that arises from mesothelial cells, usually in the pleura or peritoneum. Histologic variants include biphasic, epithelioid, sarcomatoid, and desmoplastic mesothelioma.;Malignant;
C66815;Diffuse Retinoblastoma;;A retinoblastoma characterized by the absence of a distinct retinal mass and the presence of malignant cells diffusely infiltrating the retina. It is often confused with uveitis and endophthalmitis, resulting in delayed diagnosis of the malignancy.;Malignant;
C36207;Digestive System Adenoma;GI System Adenoma ;A sporadic or less frequently familial neoplasm that arises from the glandular epithelium of the gastrointestinal tract and liver. In the gastrointestinal tract, it manifests as a polypoid or flat circumscribed lesion. Morphologically, it is characterized by a proliferation of neoplastic glandular cells and is associated with dysplasia. Based on the growth pattern, it may be classified as tubular, villous, or tubulovillous. The dysplasia is classified as mild, moderate, or severe. The frequency of malignant transformation depends on the size of the lesion and the degree of dysplasia. Larger gastrointestinal tract adenomas with severe dysplastic changes carry a higher risk of progression to invasive adenocarcinoma. Gastrointestinal tract adenomas may present as solitary or multifocal lesions. In the liver, it arises from the hepatocytes. Grossly, it appears as a soft, round mass. Morphologically, the neoplastic cells resemble normal hepatocytes.;Undetermined;
C7709;Digestive System Neuroendocrine Tumor G1;Gastrointestinal NET G1 ;"A well-differentiated, low-grade neuroendocrine neoplasm that arises from the digestive system. The mitotic count is less than 2 per 2 mm2 and the Ki-67 index is less than 3%. The tumor can occur anywhere in the digestive system; approximately 90% arise in the appendix.";Undetermined;
C96166;Digestive System Neuroendocrine Tumor G2;Gastrointestinal NET G2 ;A well-differentiated, intermediate-grade neuroendocrine neoplasm that arises from the digestive system. The mitotic count is 2-20 per 2 mm2 and/or the Ki-67 index is 3 to 20%.;Undetermined;
